iter	Accuracy	Logloss
278	0.8748466258	0.2953980397
279	0.8746932515	0.2950977705
280	0.8754601227	0.2947277056
281	0.8760736196	0.2944756151
282	0.8765337423	0.2942094015
283	0.8762269939	0.2939381927
284	0.8760736196	0.2937127961
285	0.8760736196	0.2933970269
286	0.876993865	0.2929702493
287	0.876993865	0.2926237012
288	0.8771472393	0.2923916538
289	0.8773006135	0.2921657524
290	0.877607362	0.2918827971
291	0.8774539877	0.2916862748
292	0.8777607362	0.2914341014
293	0.8777607362	0.2912482483
294	0.8783742331	0.2908932215
295	0.8785276074	0.2906692081
296	0.8785276074	0.2904588444
297	0.8788343558	0.2901755569
298	0.8786809816	0.2899614182
299	0.8789877301	0.2896880342
300	0.8791411043	0.2894584841
301	0.8789877301	0.289355757
302	0.8789877301	0.2891399217
303	0.8789877301	0.2888817583
304	0.8791411043	0.2886580951
305	0.8792944785	0.288352535
306	0.8792944785	0.2881721679
307	0.8792944785	0.2879833849
308	0.8794478528	0.2878068885
309	0.8797546012	0.2876459621
310	0.879601227	0.2873388497
311	0.879601227	0.2871547138
312	0.8794478528	0.2869635889
313	0.8792944785	0.2868117134
314	0.8797546012	0.2865599608
315	0.8797546012	0.2862910813
316	0.8799079755	0.2860166601
317	0.8800613497	0.2858074603
318	0.8800613497	0.2857589031
319	0.8802147239	0.2855428845
320	0.8805214724	0.2851398288
321	0.8808282209	0.2849620642
322	0.8812883436	0.2846829594
323	0.8814417178	0.2844056708
324	0.882208589	0.2839441885
325	0.8823619632	0.2837076853
326	0.8828220859	0.2835443589
327	0.8828220859	0.2832315734
328	0.8829754601	0.282996706
329	0.8831288344	0.2827311838
330	0.8835889571	0.2824476853
331	0.8834355828	0.2823008255
332	0.8834355828	0.2821492302
333	0.8831288344	0.2819077103
334	0.8835889571	0.2815701351
335	0.8834355828	0.2814787161
336	0.8837423313	0.2812535927
337	0.8838957055	0.2810435762
338	0.8840490798	0.2809082741
339	0.8838957055	0.2807249404
340	0.8840490798	0.2804398046
341	0.884202454	0.2803133765
342	0.8846625767	0.2799805265
343	0.8851226994	0.2796014325
344	0.8851226994	0.27934605
345	0.8851226994	0.279095339
346	0.8851226994	0.2789630355
347	0.8852760736	0.278726395
348	0.8855828221	0.2784996417
349	0.8855828221	0.2782781836
